# 1
cat|Кошка
dog|Собака
house|Дом
sun|Солнце
water|Вода
bread|Хлеб
apple|Яблоко
book|Книга
milk|Молоко
friend|Друг
tree|Дерево
fish|Рыба
bird|Птица
car|Машина
bus|Автобус
bed|Кровать
door|Дверь
window|Окно
table|Стол
chair|Стул
cup|Чашка
plate|Тарелка
spoon|Ложка
fork|Вилка
knife|Нож
egg|Яйцо
rice|Рис
meat|Мясо
soup|Суп
tea|Чай
coffee|Кофе
juice|Сок
salt|Соль
sugar|Сахар
cheese|Сыр
butter|Масло
cake|Торт
banana|Банан
orange|Апельсин
lemon|Лимон
potato|Картофель
tomato|Помидор
onion|Лук
carrot|Морковь
hand|Кисть руки
head|Голова
eye|Глаз
ear|Ухо
nose|Нос
mouth|Рот
leg|Нога
arm|Рука
foot|Ступня
hair|Волосы
face|Лицо
boy|Мальчик
girl|Девочка
man|Мужчина
woman|Женщина
baby|Младенец
mother|Мать
father|Отец
sister|Сестра
brother|Брат
family|Семья
home|Жилище
school|Школа
park|Парк
shop|Магазин
street|Улица
city|Город
room|Комната
bag|Сумка
hat|Шляпа
shoe|Ботинок
shirt|Рубашка
coat|Пальто
sock|Носок
ball|Мяч
toy|Игрушка
pen|Ручка
pencil|Карандаш
paper|Бумага
box|Коробка
key|Ключ
clock|Часы
phone|Телефон
lamp|Лампа
moon|Луна
star|Звезда
sky|Небо
rain|Дождь
snow|Снег
wind|Ветер
fire|Огонь
ice|Лёд
sea|Море
river|Река
flower|Цветок
grass|Трава
# 2
red|Красный
blue|Синий
green|Зелёный
yellow|Жёлтый
white|Белый
black|Чёрный
brown|Коричневый
pink|Розовый
gray|Серый
purple|Фиолетовый
big|Большой
small|Маленький
long|Длинный
short|Короткий
high|Высокий
low|Низкий
hot|Горячий
cold|Холодный
warm|Тёплый
cool|Прохладный
new|Новый
old|Старый
young|Молодой
good|Хороший
bad|Плохой
happy|Счастливый
sad|Грустный
angry|Сердитый
kind|Добрый
nice|Приятный
fast|Быстрый
slow|Медленный
easy|Лёгкий
hard|Трудный
clean|Чистый
dirty|Грязный
full|Полный
empty|Пустой
wet|Мокрый
dry|Сухой
sweet|Сладкий
sour|Кислый
soft|Мягкий
strong|Сильный
weak|Слабый
rich|Богатый
poor|Бедный
loud|Громкий
quiet|Тихий
bright|Яркий
dark|Тёмный
beautiful|Красивый
ugly|Уродливый
hungry|Голодный
thirsty|Испытывающий жажду
tired|Уставший
sick|Больной
healthy|Здоровый
ready|Готовый
busy|Занятый
free|Свободный
safe|Безопасный
open|Открытый
